,blue_team,red_team,result
1564,SeolHaeOne Prince,SANDBOX Gaming,1
1565,Alpha Esports,J Team,1
1566,FTV Esports,EVOS Esports,0
1567,Top Esports,Oh My God,1
1568,SANDBOX Gaming,SeolHaeOne Prince,0
1569,V Gaming Adonis,Team Flash,0
1570,Talon Esports,Berjaya Dragons,1
1571,Royal Never Give Up,EDward Gaming,0
1572,Team Flash,V Gaming Adonis,1
1573,Alpha Esports,Resurgence,0
1574,KT Rolster,Afreeca Freecs,1
1575,Royal Never Give Up,EDward Gaming,1
1576,Hong Kong Attitude,Machi Esports,0
1577,Royal Never Give Up,EDward Gaming,1
1578,Afreeca Freecs,KT Rolster,1
1579,Fnatic Rising,BT Excel,0
1580,Hong Kong Attitude,ahq eSports Club,0
1581,KT Rolster,Afreeca Freecs,1
1582,Fnatic Rising,BT Excel,0
1583,Fnatic Rising,BT Excel,1
1584,Fnatic Rising,BT Excel,1
1585,BT Excel,Fnatic Rising,0
1586,Golden Guardians,FlyQuest,1
1587,Dignitas,TSM,1
1588,Isurus,Rainbow7,0
1589,Evil Geniuses,Immortals,1
1590,XTEN Esports,Pixel Esports Club,1
1591,Team Liquid,Cloud9,0
1592,Furious Gaming,Azules Esports,0
1593,100 Thieves,Counter Logic Gaming,1
1594,Infinity Esports,All Knights,1
1595,Vici Gaming,LNG Esports,0
1596,LNG Esports,Vici Gaming,0
1597,hyFresh Blade,Asura,1
1598,Vici Gaming,LNG Esports,1
1599,Victory Five,FunPlus Phoenix,0
1600,Asura,hyFresh Blade,0
1601,FunPlus Phoenix,Victory Five,1
1602,Team Dynamics,Jin Air Green Wings,1
1603,JD Gaming,Suning,1
1604,Jin Air Green Wings,Team Dynamics,0
1605,Suning,JD Gaming,1
1606,JD Gaming,Suning,1
1607,Dignitas,Immortals,1
1608,100 Thieves,FlyQuest,1
1609,Golden Guardians,Dignitas,1
1610,Evil Geniuses,100 Thieves,1
1611,Element Mystic,Spear Gaming,1
1612,Spear Gaming,Element Mystic,1
1613,LGD Gaming,EDward Gaming,1
1614,Element Mystic,Spear Gaming,0
1615,LGD Gaming,EDward Gaming,0
1616,LGD Gaming,EDward Gaming,0
1617,Team Dynamics,OZ Gaming,1
1618,Invictus Gaming,Oh My God,1
1619,OZ Gaming,Team Dynamics,0
1620,Oh My God,Invictus Gaming,0
1621,AGO ROGUE,devils.one,1
1622,AGO ROGUE,devils.one,1
1623,AGO ROGUE,devils.one,1
1624,DRX,SANDBOX Gaming,1
1625,Dominus Esports,LNG Esports,1
1626,SANDBOX Gaming,DRX,1
1627,LNG Esports,Dominus Esports,0
1628,Vici Gaming,eStar,1
1629,DRX,SANDBOX Gaming,1
1630,Vici Gaming,eStar,0
1631,KT Rolster,Griffin,1
1632,Vici Gaming,eStar,1
1633,Griffin,KT Rolster,1
1634,Victory Five,Royal Never Give Up,0
1635,KT Rolster,Griffin,1
1636,Royal Never Give Up,Victory Five,1
1637,Gen.G,T1,1
1638,T1,Gen.G,1
1639,K1ck Neosurf,AGO ROGUE,0
1640,Gen.G,T1,0
1641,K1ck Neosurf,AGO ROGUE,1
1642,K1ck Neosurf,AGO ROGUE,0
1643,AGO ROGUE,K1ck Neosurf,1
1644,hyFresh Blade,Element Mystic,0
1645,Afreeca Freecs,SeolHaeOne Prince,0
1646,Element Mystic,hyFresh Blade,1
1647,LGD Gaming,Team WE,1
1648,SeolHaeOne Prince,Afreeca Freecs,1
1649,Spear Gaming,OZ Gaming,0
1650,Team WE,LGD Gaming,1
1651,OZ Gaming,Spear Gaming,1
1652,Saigon Buffalo,EVOS Esports,0
1653,DAMWON Gaming,Hanwha Life Esports,1
1654,LGD Gaming,Team WE,1
1655,Hanwha Life Esports,DAMWON Gaming,0
1656,Rogue Warriors,Bilibili Gaming,1
1657,EVOS Esports,Saigon Buffalo,1
1658,Bilibili Gaming,Rogue Warriors,0
1659,KT Rolster,DRX,0
1660,FTV Esports,GAM Esports,0
1661,GAM Esports,FTV Esports,1
1662,Suning,Top Esports,0
1663,DRX,KT Rolster,1
1664,Top Esports,Suning,0
1665,Suning,Top Esports,0
1666,Dark Passage Academy,Team AURORA Academy,0
1667,SuperMassive Academy,İstanbul Wildcats Academy,0
1668,Galakticos Academy,Royal Youth Academy,1
1669,Beşiktaş Academy,1907 Fenerbahçe Academy,1
1670,TSM Academy,100 Thieves Academy,1
1671,100 Thieves Academy,TSM Academy,0
1672,100 Thieves Academy,TSM Academy,0
1673,Seorabeol Gaming,Team Dynamics,1
1674,MAMMOTH,Avant Gaming,1
1675,Gen.G,SANDBOX Gaming,1
1676,Team Dynamics,Seorabeol Gaming,1
1677,Gravitas,Legacy Esports,0
1678,Dominus Esports,EDward Gaming,0
1679,Seorabeol Gaming,Team Dynamics,1
1680,Pentanet.GG,ORDER,0
1681,SANDBOX Gaming,Gen.G,0
1682,EDward Gaming,Dominus Esports,1
1683,Dire Wolves,Chiefs Esports Club,0
1684,Griffin,T1,1
1685,Team Flash,CERBERUS Esports,1
1686,Invictus Gaming,Victory Five,1
1687,Asura,Jin Air Green Wings,1
1688,Pentanet.GG,Legacy Esports,0
1689,CERBERUS Esports,Team Flash,0
1690,Victory Five,Invictus Gaming,0
1691,Jin Air Green Wings,Asura,1
1692,T1,Griffin,1
1693,Dire Wolves,Avant Gaming,0
1694,Royal Never Give Up,eStar,1
1695,Griffin,T1,0
1696,Asura,Jin Air Green Wings,0
1697,Royal Never Give Up,eStar,1
1698,Liyab Esports,ahq eSports Club,0
1699,Team Secret,V Gaming Adonis,1
1700,Afreeca Freecs,DAMWON Gaming,0
1701,V Gaming Adonis,Team Secret,0
1702,Liyab Esports,Talon Esports,0
1703,Liyab Esports,Machi Esports,0
1704,DAMWON Gaming,Afreeca Freecs,1
1705,İstanbul Wildcats Academy,Galakticos Academy,1
1706,Nova Esports,Liyab Esports,0
1707,Beşiktaş Academy,Team AURORA Academy,0
1708,G2 Esports,MAD Lions,0
1709,1907 Fenerbahçe Academy,SuperMassive Academy,0
1710,G2 Esports,MAD Lions,1
1711,5 Ronin Academy,Royal Youth Academy,1
1712,G2 Esports,MAD Lions,0
1713,MAD Lions,G2 Esports,0
1714,G2 Esports,MAD Lions,0
1715,Evil Geniuses Academy,Team Liquid Academy,1
1716,Team Liquid Academy,Evil Geniuses Academy,0
1717,Team Liquid Academy,Evil Geniuses Academy,0
1718,SeolHaeOne Prince,KT Rolster,1
1719,Avant Gaming,Gravitas,1
1720,ORDER,MAMMOTH,1
1721,Gravitas,Chiefs Esports Club,0
1722,KT Rolster,SeolHaeOne Prince,1
1723,ORDER,Dire Wolves,1
1724,SeolHaeOne Prince,KT Rolster,1
1725,Pentanet.GG,MAMMOTH,1
1726,SANDBOX Gaming,Hanwha Life Esports,0
1727,Liyab Esports,Resurgence,0
1728,Chiefs Esports Club,Legacy Esports,0
1729,Berjaya Dragons,Nova Esports,1
1730,Dark Passage,Team AURORA,1
1731,Hanwha Life Esports,SANDBOX Gaming,0
1732,Talon Esports,Resurgence,1
1733,SANDBOX Gaming,Hanwha Life Esports,1
1734,SuperMassive Esports,İstanbul Wildcats,0
1735,Team Secret,Team Flash,1
1736,Gen.G,DRX,0
1737,ahq eSports Club,Alpha Esports,1
1738,Dragon Army,Elements Pro Gaming,0
1739,Galakticos,Royal Youth,1
1740,Team Flash,Team Secret,0
1741,DRX,Gen.G,1
1742,Talon Esports,Hong Kong Attitude,1
1743,Beşiktaş Esports,1907 Fenerbahçe Esports,0
1744,Fnatic,Origen,1
1745,RoX,CrowCrowd,1
1746,J Team,Machi Esports,0
1747,Fnatic,Origen,1
1748,Gambit Esports,Vega Squadron,1
1749,Fnatic,Origen,0
1750,Unicorns Of Love.CIS,M19,1
1751,Fnatic,Origen,1
1752,Evil Geniuses,FlyQuest,1
1753,Isurus,All Knights,1
1754,FlyQuest,Evil Geniuses,0
1755,Furious Gaming,XTEN Esports,0
1756,FlyQuest,Evil Geniuses,1
1757,Evil Geniuses,FlyQuest,1
1758,Azules Esports,Rainbow7,0
1759,Pixel Esports Club,Infinity Esports,0
1760,DAMWON Gaming,T1,1
1761,JD Gaming,LNG Esports,1
1762,T1,DAMWON Gaming,0
1763,LNG Esports,JD Gaming,0
1764,SeolHaeOne Prince,Griffin,0
1765,EVOS Esports,CERBERUS Esports,1
1766,EDward Gaming,Bilibili Gaming,0
1767,CERBERUS Esports,EVOS Esports,1
1768,EDward Gaming,Bilibili Gaming,1
1769,Griffin,SeolHaeOne Prince,0
1770,EVOS Esports,CERBERUS Esports,0
1771,EDward Gaming,Bilibili Gaming,1
1772,Hong Kong Attitude,Liyab Esports,1
1773,SeolHaeOne Prince,Griffin,0
1774,Galakticos,İstanbul Wildcats,0
1775,GAM Esports,Saigon Buffalo,1
1776,Hong Kong Attitude,J Team,0
1777,Saigon Buffalo,GAM Esports,0
1778,Royal Never Give Up,Invictus Gaming,1
1779,Hanwha Life Esports,Afreeca Freecs,1
1780,Beşiktaş Esports,Team AURORA,0
1781,Royal Never Give Up,Invictus Gaming,0
1782,M19,CrowCrowd,0
1783,Afreeca Freecs,Hanwha Life Esports,0
1784,Royal Never Give Up,Invictus Gaming,0
1785,1907 Fenerbahçe Esports,SuperMassive Esports,1
1786,5 Ronin,Royal Youth,1
1787,Elements Pro Gaming,Vega Squadron,0
1788,Misfits Gaming,Rogue,1
1789,Dragon Army,Unicorns Of Love.CIS,0
1790,Rogue,Misfits Gaming,1
1791,Gambit Esports,RoX,0
1792,Misfits Gaming,Rogue,0
1793,Pixel Esports Club,Isurus,0
1794,Misfits Gaming,Rogue,0
1795,Cloud9,100 Thieves,1
1796,Infinity Esports,Furious Gaming,1
1797,100 Thieves,Cloud9,0
1798,XTEN Esports,Azules Esports,1
1799,100 Thieves,Cloud9,0
1800,All Knights,Rainbow7,1
1801,Victory Five,Suning,0
1802,Victory Five,Suning,0
1803,Spear Gaming,hyFresh Blade,0
1804,Oh My God,Vici Gaming,1
1805,Vici Gaming,Oh My God,1
1806,hyFresh Blade,Spear Gaming,1
1807,Oh My God,Vici Gaming,1
1808,Element Mystic,Asura,1
1809,Top Esports,Rogue Warriors,1
1810,Asura,Element Mystic,1
1811,Rogue Warriors,Top Esports,1
1812,Element Mystic,Asura,1
1813,Top Esports,Rogue Warriors,1
1814,Team GamerLegion,Vipers Inc,1
1815,Defusekids,MAD Lions Madrid,0
1816,Cyber Gaming,Intrepid Fox Gaming,0
1817,PIGSPORTS,K1ck Neosurf,0
1818,WLGaming Esports,Sector One,0
1819,eSuba,ASUS ROG ELITE,1
1820,Racoon,EGN Esports,1
1821,Kenty,For The Win Esports,1
1822,ASUS ROG ELITE,Team GamerLegion,0
1823,EGN Esports,Cyber Gaming,1
1824,Kenty,Defusekids,0
1825,K1ck Neosurf,WLGaming Esports,0
1826,Vipers Inc,eSuba,0
1827,Intrepid Fox Gaming,Racoon,0
1828,MAD Lions Madrid,For The Win Esports,1
1829,Sector One,PIGSPORTS,1
1830,Team GamerLegion,eSuba,1
1831,Cyber Gaming,Racoon,0
1832,Defusekids,For The Win Esports,1
1833,K1ck Neosurf,Sector One,1
1834,Vipers Inc,ASUS ROG ELITE,0
1835,PIGSPORTS,WLGaming Esports,0
1836,Intrepid Fox Gaming,EGN Esports,1
1837,MAD Lions Madrid,Kenty,0
1838,Bilibili Gaming,Dominus Esports,0
1839,Dominus Esports,Bilibili Gaming,0
1840,Jin Air Green Wings,Spear Gaming,1
1841,Dominus Esports,Bilibili Gaming,0
1842,Spear Gaming,Jin Air Green Wings,1
1843,eStar,JD Gaming,0
1844,Jin Air Green Wings,Spear Gaming,0
1845,JD Gaming,eStar,1
1846,FunPlus Phoenix,LNG Esports,1
1847,Team Dynamics,Element Mystic,1
1848,LNG Esports,FunPlus Phoenix,0
1849,Element Mystic,Team Dynamics,0
1850,FlyQuest,Golden Guardians,1
1851,Golden Guardians,FlyQuest,0
1852,FlyQuest,Golden Guardians,1
1853,Rogue Warriors,Vici Gaming,0
1854,Vici Gaming,Rogue Warriors,0
1855,Diablo Chairs,unknown team,0
1856,DAMWON Gaming,Griffin,0
1857,Vici Gaming,Rogue Warriors,0
1858,Griffin,DAMWON Gaming,1
1859,Oh My God,Suning,1
1860,PRIDE,unknown team,1
1861,Oh My God,Suning,1
1862,SeolHaeOne Prince,Gen.G,0
1863,Team WE,Top Esports,1
1864,Gen.G,SeolHaeOne Prince,0
1865,Top Esports,Team WE,1
1866,unknown team,PRIDE,0
1867,Top Esports,Team WE,0
1868,SeolHaeOne Prince,Gen.G,0
1869,unknown team,PRIDE,0
1870,Sector One,WLGaming Esports,1
1871,For The Win Esports,Kenty,1
1872,EGN Esports,Racoon,0
1873,Misfits Premier,GamersOrigin,0
1874,ASUS ROG ELITE,eSuba,0
1875,Vipers Inc,Team GamerLegion,0
1876,Intrepid Fox Gaming,Cyber Gaming,1
1877,MAD Lions Madrid,Defusekids,0
1878,K1ck Neosurf,PIGSPORTS,1
1879,GamersOrigin,Misfits Premier,0
1880,Kenty,MAD Lions Madrid,0
1881,Sector One,K1ck Neosurf,0
1882,eSuba,Team GamerLegion,1
1883,GamersOrigin,Misfits Premier,1
1884,EGN Esports,Intrepid Fox Gaming,1
1885,ASUS ROG ELITE,Vipers Inc,0
1886,Racoon,Cyber Gaming,1
1887,For The Win Esports,Defusekids,0
1888,WLGaming Esports,PIGSPORTS,1
1889,GamersOrigin,Misfits Premier,1
1890,eSuba,Vipers Inc,0
1891,Cyber Gaming,EGN Esports,0
1892,Defusekids,Kenty,1
1893,PIGSPORTS,Sector One,0
1894,100 Thieves,TSM,0
1895,WLGaming Esports,K1ck Neosurf,0
1896,For The Win Esports,MAD Lions Madrid,0
1897,Racoon,Intrepid Fox Gaming,0
1898,100 Thieves,TSM,1
1899,Team GamerLegion,ASUS ROG ELITE,1
1900,TSM,100 Thieves,0
1901,100 Thieves,TSM,0
1902,100 Thieves,TSM,0
1903,OZ Gaming,hyFresh Blade,0
1904,hyFresh Blade,OZ Gaming,0
1905,LGD Gaming,Royal Never Give Up,1
1906,OZ Gaming,hyFresh Blade,0
1907,LGD Gaming,Royal Never Give Up,1
1908,SANDBOX Gaming,T1,0
1909,Asura,Seorabeol Gaming,0
1910,EDward Gaming,LNG Esports,1
1911,T1,SANDBOX Gaming,1
1912,Seorabeol Gaming,Asura,1
1913,EDward Gaming,LNG Esports,1
1914,Afreeca Freecs,Griffin,1
1915,JD Gaming,Invictus Gaming,1
1916,JD Gaming,Invictus Gaming,1
1917,Griffin,Afreeca Freecs,0
1918,İstanbul Wildcats Academy,Beşiktaş Academy,0
1919,Dark Passage Academy,1907 Fenerbahçe Academy,1
1920,Team GamerLegion,Intrepid Fox Gaming,1
1921,Racoon,eSuba,0
1922,Team AURORA Academy,5 Ronin Academy,1
1923,LDLC OL,GamersOrigin,0
1924,Racoon,eSuba,1
1925,Team GamerLegion,Intrepid Fox Gaming,1
1926,SuperMassive Academy,Galakticos Academy,1
1927,LDLC OL,GamersOrigin,0
1928,Sector One,Defusekids,0
1929,Racoon,eSuba,0
1930,K1ck Neosurf,MAD Lions Madrid,0
1931,LDLC OL,GamersOrigin,0
1932,Defusekids,Sector One,0
1933,Dignitas Academy,Evil Geniuses Academy,0
1934,K1ck Neosurf,MAD Lions Madrid,1
1935,Sector One,Defusekids,0
1936,K1ck Neosurf,MAD Lions Madrid,1
1937,Dignitas Academy,Evil Geniuses Academy,0
1938,Dignitas Academy,Evil Geniuses Academy,1
1939,Dignitas Academy,Evil Geniuses Academy,0
1940,Spear Gaming,Team Dynamics,0
1941,Team Dynamics,Spear Gaming,1
1942,ORDER,Avant Gaming,1
1943,Victory Five,Dominus Esports,0
1944,ORDER,Avant Gaming,1
1945,DRX,DAMWON Gaming,1
1946,hyFresh Blade,Jin Air Green Wings,1
1947,Victory Five,Dominus Esports,0
1948,Avant Gaming,ORDER,1
1949,Jin Air Green Wings,hyFresh Blade,1
1950,FunPlus Phoenix,Vici Gaming,1
1951,ORDER,Avant Gaming,1
1952,Berjaya Dragons,Alpha Esports,1
1953,DAMWON Gaming,DRX,1
1954,Vici Gaming,FunPlus Phoenix,1
1955,Chiefs Esports Club,Dire Wolves,0
1956,FunPlus Phoenix,Vici Gaming,0
1957,DRX,DAMWON Gaming,1
1958,Berjaya Dragons,Alpha Esports,0
1959,hyFresh Blade,Jin Air Green Wings,1
1960,Chiefs Esports Club,Dire Wolves,1
1961,Top Esports,Bilibili Gaming,0
1962,T1,KT Rolster,0
1963,Berjaya Dragons,Alpha Esports,1
1964,Dire Wolves,Chiefs Esports Club,0
1965,Top Esports,Bilibili Gaming,0
1966,Chiefs Esports Club,Dire Wolves,1
1967,Talon Esports,Nova Esports,1
1968,KT Rolster,T1,1
1969,Talon Esports,Nova Esports,1
1970,Royal Youth Academy,Dark Passage Academy,0
1971,Galakticos Academy,Team AURORA Academy,0
1972,Origen,Rogue,0
1973,Prodigy Esports,paiN Gaming,0
1974,1907 Fenerbahçe Academy,İstanbul Wildcats Academy,0
1975,Rogue,Origen,0
1976,Beşiktaş Academy,5 Ronin Academy,1
1977,Vivo Keyd,Redemption eSports Porto Alegre,1
1978,Rogue,Origen,0
1979,INTZ,FURIA Esports,1
1980,Rogue,Origen,0
1981,Flamengo Esports,KaBuM! e-Sports,1
1982,Cloud9 Academy,TSM Academy,0
1983,Cloud9 Academy,TSM Academy,1
1984,TSM Academy,Cloud9 Academy,0
1985,Cloud9 Academy,TSM Academy,1
1986,Chiefs Esports Club,Legacy Esports,0
1987,Oh My God,LGD Gaming,0
1988,Legacy Esports,Chiefs Esports Club,0
1989,LGD Gaming,Oh My God,1
1990,Chiefs Esports Club,Legacy Esports,0
1991,SeolHaeOne Prince,Hanwha Life Esports,1
1992,Team WE,eStar,0
1993,Legacy Esports,Chiefs Esports Club,1
1994,Berjaya Dragons,Machi Esports,0
1995,Hanwha Life Esports,SeolHaeOne Prince,1
1996,Team WE,eStar,0
1997,Machi Esports,Berjaya Dragons,1
1998,Royal Never Give Up,Rogue Warriors,1
1999,SeolHaeOne Prince,Hanwha Life Esports,1
2000,Berjaya Dragons,Machi Esports,0
2001,Rogue Warriors,Royal Never Give Up,1
2002,SANDBOX Gaming,KT Rolster,0
2003,Royal Never Give Up,Rogue Warriors,0
2004,Elements Pro Gaming,Gambit Esports,1
2005,KT Rolster,SANDBOX Gaming,1
2006,CrowCrowd,Unicorns Of Love.CIS,0
2007,Fnatic,MAD Lions,1
2008,M19,Dragon Army,1
2009,MAD Lions,Fnatic,0
2010,Redemption eSports Porto Alegre,Prodigy Esports,0
2011,RoX,Vega Squadron,1
2012,MAD Lions,Fnatic,0
2013,KaBuM! e-Sports,Vivo Keyd,1
2014,INTZ,Flamengo Esports,0
2015,FURIA Esports,paiN Gaming,1
2016,Rainbow7,Pixel Esports Club,1
2017,Cloud9,Evil Geniuses,1
2018,Evil Geniuses,Cloud9,0
2019,XTEN Esports,Infinity Esports,1
2020,Evil Geniuses,Cloud9,1
2021,Azules Esports,All Knights,0
2022,Cloud9,Evil Geniuses,1
2023,Furious Gaming,Isurus,0
2024,Suning,Dominus Esports,0
2025,DRX,Afreeca Freecs,1
2026,Suning,Dominus Esports,1
2027,Suning,Dominus Esports,0
2028,Talon Esports,ahq eSports Club,0
2029,Afreeca Freecs,DRX,1
2030,EDward Gaming,FunPlus Phoenix,0
2031,DRX,Afreeca Freecs,1
2032,ahq eSports Club,Talon Esports,1
2033,EDward Gaming,FunPlus Phoenix,1
2034,Hanwha Life Esports,Gen.G,0
2035,Talon Esports,ahq eSports Club,1
2036,EDward Gaming,FunPlus Phoenix,0
2037,ahq eSports Club,Talon Esports,0
2038,Invictus Gaming,Bilibili Gaming,0
2039,Gen.G,Hanwha Life Esports,0
2040,ahq eSports Club,Talon Esports,0
2041,Invictus Gaming,Bilibili Gaming,1
2042,Dragon Army,Vega Squadron,1
2043,Hanwha Life Esports,Gen.G,1
2044,Invictus Gaming,Bilibili Gaming,1
2045,CrowCrowd,Gambit Esports,0
2046,Origen,G2 Esports,0
2047,Elements Pro Gaming,M19,0
2048,Origen,G2 Esports,0
2049,INTZ,Redemption eSports Porto Alegre,1
2050,Unicorns Of Love.CIS,RoX,1
2051,Origen,G2 Esports,1
2052,Prodigy Esports,Vivo Keyd,0
2053,Dragon Army,M19,1
2054,Origen,G2 Esports,0
2055,Unicorns Of Love.CIS,RoX,0
2056,FURIA Esports,KaBuM! e-Sports,1
2057,Flamengo Esports,paiN Gaming,0
2058,All Knights,Pixel Esports Club,1
2059,FlyQuest,TSM,0
2060,Isurus,XTEN Esports,1
2061,FlyQuest,TSM,1
2062,Furious Gaming,Rainbow7,1
2063,FlyQuest,TSM,1
2064,TSM,FlyQuest,1
2065,Infinity Esports,Azules Esports,1
2066,FlyQuest,TSM,1
2067,Oh My God,eStar,0
2068,OZ Gaming,Jin Air Green Wings,1
2069,Oh My God,eStar,0
2070,Jin Air Green Wings,OZ Gaming,1
2071,LNG Esports,Royal Never Give Up,0
2072,OZ Gaming,Jin Air Green Wings,1
2073,LNG Esports,Royal Never Give Up,0
2074,İstanbul Wildcats,Beşiktaş Esports,1
2075,Top Esports,Victory Five,1
2076,Element Mystic,Seorabeol Gaming,0
2077,1907 Fenerbahçe Esports,Dark Passage,1
2078,Top Esports,Victory Five,1
2079,Seorabeol Gaming,Element Mystic,1
2080,Team AURORA,5 Ronin,1
2081,SuperMassive Esports,Galakticos,0
2082,Havan Liberty Gaming,Intergalaxy Tigers Gaming,1
2083,Santos e-Sports,Falkol,0
2084,RED Canids,Team oNe eSports,0
2085,Royal Club,Rogue Warriors Shark,1
2086,JD Gaming,Rogue Warriors,1
2087,Victorious Gaming,Joy Dream,1
2088,Spear Gaming,Asura,1
2089,Rogue Warriors Shark,Royal Club,0
2090,JD Gaming,Rogue Warriors,1
2091,Victorious Gaming,Joy Dream,0
2092,Asura,Spear Gaming,1
2093,Vici Gaming,Suning,1
2094,Young Miracles,Dominus Esports Young,0
2095,Joy Dream,Victorious Gaming,1
2096,Young Miracles,Dominus Esports Young,1
2097,Spear Gaming,Asura,1
2098,Vici Gaming,Suning,0
2099,Royal Youth,Dark Passage,0
2100,FunPlus Phoenix Blaze,eStar Young,1
2101,Vici Gaming,Suning,0
2102,Young Miracles,Dominus Esports Young,0
2103,Team Dynamics,hyFresh Blade,0
2104,eStar Young,FunPlus Phoenix Blaze,0
2105,Galakticos,Team AURORA,1
2106,LGD Gaming,Bilibili Gaming,0
2107,hyFresh Blade,Team Dynamics,1
2108,Bilibili Gaming,LGD Gaming,1
2109,1907 Fenerbahçe Esports,İstanbul Wildcats,0
2110,Beşiktaş Esports,5 Ronin,1
2111,Team AURORA,Beşiktaş Esports,1
2112,Santos e-Sports,Havan Liberty Gaming,1
2113,Falkol,Team oNe eSports,0
2114,Intergalaxy Tigers Gaming,RED Canids,0
2115,Gen.G,KT Rolster,0
2116,KT Rolster,Gen.G,0
2117,Triumphant Song Gaming,Invictus Gaming Young,0
2118,V5 87,WanZhen Esports Club,1
2119,EDward Gaming,Oh My God,1
2120,Gen.G,KT Rolster,1
2121,WanZhen Esports Club,V5 87,1
2122,Invictus Gaming Young,Triumphant Song Gaming,1
2123,EDward Gaming,Oh My God,1
2124,V5 87,WanZhen Esports Club,0
2125,T1,Afreeca Freecs,1
2126,Suning-S,All Combo,0
2127,Royal Never Give Up,Dominus Esports,0
2128,Afreeca Freecs,T1,0
2129,LinGan e-Sports,Legend Esport Gaming,0
2130,All Combo,Suning-S,1
2131,Dominus Esports,Royal Never Give Up,1
2132,Legend Esport Gaming,LinGan e-Sports,1
2133,DAMWON Gaming,SANDBOX Gaming,0
2134,Invictus Gaming,Team WE,1
2135,Team WE,Invictus Gaming,1
2136,SANDBOX Gaming,DAMWON Gaming,0
2137,Invictus Gaming,Team WE,1
2138,DAMWON Gaming,SANDBOX Gaming,1
2139,Asura,OZ Gaming,0
2140,Vici Gaming Potential,Oh My Dream,1
2141,Shu Dai Xiong Gaming,Victory Five,0
2142,Team WE Academy,Bilibili Gaming,1
2143,OZ Gaming,Asura,1
2144,Griffin,Hanwha Life Esports,1
2145,Oh My Dream,Victory Five,0
2146,Vici Gaming Potential,Bilibili Gaming,1
2147,Team WE Academy,Shu Dai Xiong Gaming,0
2148,Seorabeol Gaming,hyFresh Blade,1
2149,LGD Gaming,FunPlus Phoenix,0
2150,Team WE Academy,Shu Dai Xiong Gaming,1
2151,Hanwha Life Esports,Griffin,0
2152,Bilibili Gaming Junior,EDG Youth Team,0
2153,hyFresh Blade,Seorabeol Gaming,0
2154,FunPlus Phoenix,LGD Gaming,1
2155,DRX,SeolHaeOne Prince,1
2156,LGD Gaming Young Team,LNG Academy,0
2157,EDG Youth Team,Bilibili Gaming Junior,1
2158,Top Esports,eStar,1
2159,LNG Academy,LGD Gaming Young Team,0
2160,SeolHaeOne Prince,DRX,1
2161,Top Esports,eStar,1
2162,LGD Gaming Young Team,LNG Academy,1
2163,DRX,SeolHaeOne Prince,1
2164,OZ Gaming,Seorabeol Gaming,0
2165,ORDER,Dire Wolves,1
2166,Seorabeol Gaming,OZ Gaming,0
2167,ORDER,Dire Wolves,1
2168,OZ Gaming,Seorabeol Gaming,0
2169,Legend Esport Gaming,FunPlus Phoenix Blaze,0
2170,All Combo,Royal Club,0
2171,LNG Esports,Team WE,1
2172,Royal Club,All Combo,0
2173,FunPlus Phoenix Blaze,Legend Esport Gaming,1
2174,Jin Air Green Wings,Element Mystic,1
2175,Team WE,LNG Esports,1
2176,J Team,Alpha Esports,1
2177,Dire Wolves,ORDER,1
2178,All Combo,Royal Club,1
2179,LNG Esports,Team WE,1
2180,Element Mystic,Jin Air Green Wings,1
2181,Rogue Warriors Shark,eStar Young,1
2182,ORDER,Dire Wolves,0
2183,Dominus Esports,JD Gaming,0
2184,Alpha Esports,J Team,1
2185,Jin Air Green Wings,Element Mystic,0
2186,Rogue Warriors Shark,eStar Young,1
2187,V5 87,Dominus Esports Young,0
2188,ORDER,Dire Wolves,0
2189,JD Gaming,Dominus Esports,1
2190,Beşiktaş Academy,Team AURORA Academy,1
2191,Alpha Esports,J Team,1
2192,Dominus Esports Young,V5 87,1
2193,EDward Gaming,Invictus Gaming,0
2194,Beşiktaş Academy,Team AURORA Academy,0
2195,Invictus Gaming,EDward Gaming,1
2196,Nova Esports,Hong Kong Attitude,0
2197,Team AURORA Academy,Beşiktaş Academy,1
2198,Hong Kong Attitude,Nova Esports,1
2199,Beşiktaş Academy,Team AURORA Academy,0
2200,FURIA Esports,Prodigy Esports,1
2201,paiN Gaming,INTZ,0
2202,Redemption eSports Porto Alegre,KaBuM! e-Sports,0
2203,Flamengo Esports,Vivo Keyd,0
2204,Cloud9 Academy,Evil Geniuses Academy,1
2205,Evil Geniuses Academy,Cloud9 Academy,0
2206,Cloud9 Academy,Evil Geniuses Academy,1
2207,Dire Wolves,Chiefs Esports Club,0
2208,Chiefs Esports Club,Dire Wolves,0
2209,Gama Dream,EDG Youth Team,1
2210,KT Rolster,DAMWON Gaming,0
2211,Vici Gaming,Victory Five,1
2212,WanZhen Esports Club,LGD Gaming Young Team,0
2213,Dire Wolves,Chiefs Esports Club,1
2214,GAM Esports,Team Flash,0
2215,EDG Youth Team,Gama Dream,1
2216,Victory Five,Vici Gaming,0
2217,LGD Gaming Young Team,WanZhen Esports Club,0
2218,Dire Wolves,Chiefs Esports Club,0
2219,Machi Esports,Talon Esports,1
2220,Gama Dream,EDG Youth Team,1
2221,FunPlus Phoenix,Rogue Warriors,1
2222,WanZhen Esports Club,LGD Gaming Young Team,0
2223,GAM Esports,Team Flash,1
2224,DAMWON Gaming,KT Rolster,0
2225,Chiefs Esports Club,Dire Wolves,0
2226,Rogue Warriors,FunPlus Phoenix,1
